,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
384,wegorzewo,PL,54.22,21.74,1596428981,77,83,57.58,6.96
385,bonthe,SL,7.53,-12.51,1596428981,80,86,75.22,7.94
386,hobyo,SO,5.35,48.53,1596428981,98,68,79.88,22.17
387,saint-joseph,RE,-21.37,55.62,1596428982,90,56,69.8,14.99
388,katsuura,JP,35.13,140.3,1596429515,20,70,93.99,6.93
389,sayla,IN,22.55,71.47,1596428982,49,69,87.66,7.14
390,prince rupert,CA,54.32,-130.32,1596428963,90,100,57.2,3.36
391,svetlogorsk,BY,52.63,29.73,1596428982,0,88,56.08,3.67
392,yenagoa,NG,4.92,6.26,1596428982,99,89,72.59,4.18
393,forestville,US,38.85,-76.88,1596428693,20,78,82.99,8.05
394,brigantine,US,39.41,-74.36,1596428982,20,78,82.4,8.05
395,nyurba,RU,63.28,118.33,1596428982,0,38,75.7,4.47
396,lukovetskiy,RU,64.3,41.92,1596428982,75,93,53.6,4.47
397,najran,SA,17.49,44.13,1596428982,48,54,80.6,8.05
398,krasnyy yar,RU,46.53,48.35,1596428982,75,82,68.0,2.24
399,salinas,US,36.68,-121.66,1596428983,1,72,64.4,11.41
400,zamora,EC,-4.07,-78.96,1596428983,65,73,65.07,1.19
401,daru,PG,-9.08,143.21,1596428983,95,78,77.99,14.09
402,nuevo progreso,MX,23.17,-97.95,1596428983,15,65,77.0,0.34
403,sept-iles,CA,50.2,-66.38,1596428746,75,88,64.4,6.93
404,juneau,US,58.3,-134.42,1596428983,90,87,60.01,3.36
405,sisimiut,GL,66.94,-53.67,1596428983,34,72,47.46,9.8
406,ambilobe,MG,-13.2,49.05,1596428983,18,65,72.03,3.11
407,novopokrovka,UA,49.84,36.55,1596428983,0,87,59.0,4.47
408,sovetskiy,RU,61.36,63.58,1596428984,98,71,67.15,11.39
409,sobolevo,RU,54.43,31.9,1596428984,9,86,53.96,4.43
410,shubarkuduk,KZ,49.14,56.49,1596428984,25,27,86.14,7.18
411,hasaki,JP,35.73,140.83,1596429518,40,70,93.99,10.29
412,naifaru,MV,5.44,73.37,1596428984,97,79,82.71,15.05
413,bella union,UY,-30.28,-57.6,1596428984,87,78,66.72,7.76
414,robertsport,LR,6.75,-11.37,1596428984,92,86,75.83,10.78
415,kokopo,PG,-4.35,152.26,1596428984,76,66,86.07,11.7
416,turgutlu,TR,38.5,27.7,1596428984,0,34,80.6,18.34
417,antalaha,MG,-14.9,50.28,1596428985,92,81,70.79,15.26
418,forbes,AU,-33.38,148.02,1596428985,100,61,64.0,7.0
419,peachland,CA,49.77,-119.74,1596428985,1,36,80.6,4.7
420,okha,RU,53.57,142.95,1596429518,90,77,57.27,12.15
421,port moresby,PG,-9.44,147.18,1596428985,40,70,84.2,23.04
422,kahului,US,20.89,-156.47,1596428985,20,58,82.4,21.92
423,borogontsy,RU,62.67,131.17,1596428985,0,28,80.4,6.78
424,beringovskiy,RU,63.05,179.32,1596428775,98,70,48.51,12.75
425,buraydah,SA,26.33,43.98,1596428985,0,35,87.8,11.41
426,galle,LK,6.04,80.22,1596428800,99,81,81.09,10.92
427,pingzhuang,CN,42.04,119.29,1596428986,0,24,90.3,20.94
428,osypenko,UA,46.91,36.83,1596428986,0,100,62.01,8.99
429,whitehorse,CA,60.72,-135.05,1596428986,75,39,64.4,9.17
430,la ciotat,FR,43.17,5.6,1596428986,92,66,73.99,5.99
431,dunaujvaros,HU,46.98,18.93,1596428986,34,77,70.0,6.4
432,mayumba,GA,-3.43,10.66,1596428986,23,84,70.32,5.44
433,ankazoabo,MG,-22.28,44.52,1596428986,0,66,54.03,6.15
434,preston,GB,53.77,-2.72,1596428986,54,87,53.01,3.8
435,luau,AO,-10.71,22.22,1596429520,100,48,54.75,4.41
436,udachnyy,RU,66.42,112.4,1596428866,100,22,78.8,6.71
437,roura,GF,4.73,-52.33,1596428986,87,100,75.2,1.12
438,mae sai,TH,20.43,99.88,1596428987,90,100,77.0,5.82
439,deputatskiy,RU,69.3,139.9,1596428987,57,57,57.07,8.77
440,souillac,MU,-20.52,57.52,1596429370,75,56,69.8,16.11
441,garmsar,IR,35.22,52.34,1596428987,0,16,91.9,9.19
442,goderich,CA,43.75,-81.72,1596428987,47,93,66.99,9.04
443,villa carlos paz,AR,-31.42,-64.5,1596428858,6,71,61.0,5.82
444,rio branco,BR,-9.97,-67.81,1596428987,0,94,69.8,2.24
445,takoradi,GH,4.88,-1.76,1596428987,78,82,72.21,7.99
446,kavaratti,IN,10.57,72.64,1596428987,90,79,84.2,6.93
447,petropavlovsk-kamchatskiy,RU,53.05,158.65,1596429521,90,100,55.4,11.18
448,asyut,EG,27.18,31.18,1596428987,26,32,80.6,5.12
449,vilyuysk,RU,63.76,121.62,1596429521,35,31,76.46,5.84
450,sao jose da coroa grande,BR,-8.9,-35.15,1596428988,14,78,73.49,11.54
451,port lincoln,AU,-34.73,135.87,1596428988,63,60,57.06,9.51
452,stokmarknes,NO,68.56,14.91,1596428988,0,70,63.0,1.01
453,beni suef,EG,29.07,31.1,1596428988,0,84,74.57,5.39
454,poum,NC,-20.23,164.02,1596428988,2,71,70.45,14.41
455,pangnirtung,CA,66.15,-65.71,1596428988,70,73,49.42,0.47
456,salvador,SV,13.83,-88.92,1596428988,40,83,82.4,3.36
457,mwinilunga,ZM,-11.74,24.43,1596428988,22,64,47.62,6.02
458,ammon,US,43.47,-111.97,1596428989,1,53,71.6,5.61
459,sao miguel do araguaia,BR,-13.28,-50.16,1596428989,0,44,67.66,5.44
460,toms river,US,39.95,-74.2,1596428989,1,74,82.99,10.29
461,ust-kulom,RU,61.69,53.69,1596428989,99,90,51.3,7.31
462,ndele,CF,8.41,20.65,1596428989,93,98,68.92,2.46
463,visby,SE,57.64,18.3,1596428989,40,87,62.01,6.93
464,kumbo,CM,6.2,10.67,1596428989,100,95,57.76,3.67
465,khorramshahr,IR,30.44,48.17,1596428989,0,44,95.0,4.7
466,tabas,IR,33.6,56.92,1596428989,0,16,93.2,2.24
467,sarangani,PH,5.4,125.46,1596428989,100,79,80.08,4.41
468,ishigaki,JP,24.34,124.16,1596428834,75,100,78.8,21.92
469,vrnjacka banja,RS,43.62,20.9,1596428990,0,100,51.8,3.38
470,lasa,IT,46.62,10.7,1596428990,40,100,57.99,1.97
471,yeppoon,AU,-23.13,150.73,1596428705,90,40,73.4,8.05
472,alta floresta,BR,-9.88,-56.09,1596428990,1,77,69.8,2.93
473,cervo,ES,43.67,-7.41,1596428990,27,1,54.0,6.26
474,bandiagara,ML,14.35,-3.61,1596428990,86,83,82.4,13.87
475,mongu,ZM,-15.25,23.13,1596428990,0,59,49.84,7.18
476,kandi,BJ,11.13,2.94,1596428990,100,96,72.03,6.04
477,ossora,RU,59.24,163.07,1596428990,17,60,61.27,7.23
478,yumen,CN,40.28,97.2,1596428991,57,14,84.11,21.47
479,abu samrah,SY,35.3,37.18,1596429523,0,45,78.96,5.41
480,leh,IN,34.17,77.58,1596428991,0,29,64.06,5.23
481,christchurch,NZ,-43.53,172.63,1596428695,100,71,57.2,5.82
482,puerto narino,CO,-3.77,-70.38,1596428991,19,100,73.4,0.43
483,sulangan,PH,11.14,123.72,1596429524,100,67,84.9,2.59
484,phalaborwa,ZA,-23.94,31.14,1596428991,0,93,53.6,4.7
485,vanavara,RU,60.34,102.28,1596428991,100,38,74.89,6.78
486,sergeyevka,KZ,53.88,67.42,1596429524,1,48,83.21,6.91
487,malakal,SS,9.53,31.66,1596428991,68,92,72.27,3.4
488,jalu,LY,29.03,21.55,1596428992,0,79,74.03,8.9
489,lebedinyy,RU,58.52,125.52,1596428992,87,51,66.0,10.04
490,kargasok,RU,59.06,80.86,1596428992,17,57,76.23,5.28
491,zyryanka,RU,65.75,150.85,1596428992,51,37,69.13,10.04
492,likasi,CD,-10.98,26.73,1596428992,97,74,45.72,4.56
493,quatre cocos,MU,-20.21,57.76,1596429525,75,56,71.01,16.11
494,senno,RU,59.53,33.92,1596428992,100,97,54.05,6.96
495,tougan,BF,13.07,-3.07,1596428992,100,82,76.37,7.56
496,borova,UA,50.18,30.1,1596428992,0,93,60.01,2.13
497,ostroh,UA,50.33,26.51,1596428993,24,87,55.4,2.24
498,karachi,PK,24.91,67.08,1596428873,40,66,89.6,6.93
499,filadelfia,US,39.95,-75.16,1596428708,40,74,86.0,10.29
500,mount darwin,ZW,-16.77,31.58,1596428993,0,91,47.3,2.64
501,ust-tsilma,RU,65.44,52.15,1596428993,98,83,55.47,6.31
502,aksarka,RU,66.56,67.8,1596428993,100,76,70.23,18.9
503,whitianga,NZ,-36.83,175.7,1596428993,97,83,59.0,4.0
504,pisco,PE,-13.7,-76.22,1596429418,75,87,59.0,2.24
505,bull savanna,JM,17.89,-77.59,1596428993,100,83,78.3,3.74
506,ust-nera,RU,64.57,143.2,1596428993,36,28,71.04,3.22
507,tromso,NO,69.65,18.96,1596428994,0,81,51.8,6.93
508,tahta,EG,26.77,31.5,1596428994,14,26,80.6,6.93
509,yauya,PE,-8.98,-77.3,1596428994,2,71,45.59,2.68
510,kalinin,RU,47.25,39.51,1596428994,0,82,57.99,7.0
511,komsomolskiy,UZ,40.43,71.72,1596429425,0,22,86.0,4.7
512,lubao,PH,14.92,120.55,1596428994,75,66,91.99,3.36
513,clyde river,CA,70.47,-68.59,1596429344,90,100,48.2,12.64
514,yatou,CN,37.15,122.38,1596428994,98,85,82.33,15.73
515,dobrinka,RU,52.17,40.47,1596428928,34,86,57.38,7.81
516,erbach,DE,49.66,9.0,1596428794,83,76,61.0,3.51
517,puerto cabello,VE,10.47,-68.01,1596428995,76,71,82.47,15.43
518,tokur,RU,53.13,132.9,1596428995,100,69,58.48,3.85
519,pajapan,MX,18.25,-94.7,1596428995,25,81,76.19,5.44
520,saraland,US,30.82,-88.07,1596428995,64,82,78.01,5.01
521,cabedelo,BR,-6.98,-34.83,1596428995,20,100,69.8,5.82
522,qaqortoq,GL,60.72,-46.03,1596428995,70,81,46.4,3.36
523,nouadhibou,MR,20.93,-17.03,1596429528,0,88,71.6,21.92
524,taksimo,RU,56.34,114.88,1596428996,61,56,70.27,5.01
525,enshi,CN,30.3,109.48,1596428996,1,51,94.51,2.19
526,tual,ID,-5.67,132.75,1596428996,73,82,77.67,18.07
527,jutiapa,GT,14.28,-89.9,1596428996,100,91,69.69,2.82
528,kuah,MY,6.33,99.84,1596428996,40,79,89.6,6.93
529,xiamen,CN,24.48,118.08,1596428996,20,66,89.6,11.18
530,hirara,JP,24.8,125.28,1596428996,75,88,80.6,25.28
531,bonavista,CA,48.65,-53.11,1596428996,1,72,55.0,1.99
532,heihe,CN,50.24,127.49,1596428996,75,88,69.8,17.9
533,turukhansk,RU,65.82,87.98,1596428997,41,71,67.05,4.63
534,launceston,AU,-41.45,147.17,1596428997,75,45,52.0,21.92
535,la ligua,CL,-32.45,-71.23,1596428997,0,75,51.08,0.47
536,henderson,US,36.04,-114.98,1596428757,1,7,102.2,8.05
537,balkhash,KZ,46.84,74.98,1596428997,100,31,78.8,17.9
538,barcelos,PT,41.54,-8.62,1596428997,100,87,61.0,13.87
539,ha giang,VN,22.83,104.98,1596428997,99,83,81.97,2.08
540,gobabis,NA,-22.45,18.97,1596428997,0,55,39.2,2.24
541,jaguaquara,BR,-13.53,-39.97,1596428997,35,96,59.54,8.77
542,port huron,US,42.97,-82.42,1596428997,75,93,66.99,4.7
543,gazojak,TM,41.19,61.4,1596428998,0,16,91.22,9.04
544,ha tinh,VN,18.33,105.9,1596428998,96,67,87.78,9.46
545,ouro preto do oeste,BR,-10.75,-62.22,1596428998,21,41,71.29,2.39
546,san cristobal,VE,7.77,-72.22,1596429444,29,89,65.37,4.65
547,dunedin,NZ,-45.87,170.5,1596429530,79,79,53.01,1.99
548,soyo,AO,-6.13,12.37,1596428998,98,85,72.46,6.46
549,linqing,CN,36.85,115.71,1596428998,100,49,97.5,6.62
550,kuching,MY,1.55,110.33,1596428703,20,74,87.8,6.93
551,aksehir,TR,38.36,31.42,1596428998,0,59,63.95,4.81
552,omsukchan,RU,62.53,155.8,1596428998,83,42,60.53,9.93
553,hamilton,US,39.18,-84.53,1596428998,1,94,70.0,3.76
554,ecoporanga,BR,-18.37,-40.83,1596428999,0,85,59.5,4.07
555,zakamensk,RU,50.37,103.29,1596428999,100,63,61.88,3.15
556,chara,RU,56.91,118.26,1596428999,100,86,56.17,1.5
557,macara,EC,-4.38,-79.95,1596428999,1,75,63.32,1.41
